"Player","Games","GamesStart","Completions","Attempts","Yards","TD","Int","pctStart","compPct","ydsPerAtt","tdPCT","intPCT","Height_IN","College_Wins","College.losses","Wonderlic","X40_YRD","Bench_Press","Vert_Leap_IN","Broad_Jump_IN","Shuttle","X3Cone","CombineData","didWonder","did40","didBench","didVertLeap","didBroadJump","didShuttle","didCone"
"A.J. Feeley",28,18,425,762,4618,28,31,0.642857142857143,0.557742782152231,6.06036745406824,0.036745406824147,0.0406824146981627,75,143,47,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Aaron Brooks",93,90,1673,2963,20261,123,92,0.967741935483871,0.564630442119474,6.83800202497469,0.0415119811002362,0.0310496118798515,76,90,95,17,4.6,35.5,35.5,120,4.29,7.52,1,1,1,1,1,1,1,1
"Aaron Rodgers",94,87,1945,2955,24197,188,52,0.925531914893617,0.658206429780034,8.18849407783418,0.0636209813874788,0.0175972927241963,74,90,94,39,4.71,NA,34.5,110,NA,7.39,1,1,1,0,1,1,0,1
"Akili Smith",22,17,215,461,2212,5,13,0.772727272727273,0.466377440347072,4.79826464208243,0.0108459869848156,0.0281995661605206,75,143,47,26,4.66,34,34,114,4.29,6.99,1,1,1,1,1,1,1,1
"Alex Smith",95,90,1598,2685,17593,104,70,0.947368421052632,0.595158286778399,6.55232774674115,0.0387337057728119,0.0260707635009311,76,123,61,NA,4.75,28,NA,NA,NA,NA,1,0,1,1,0,0,0,0
"Andrew Walter",15,9,174,333,1919,3,16,0.6,0.522522522522523,5.76276276276276,0.00900900900900901,0.048048048048048,78,101,86,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Andy Hall",1,0,0,0,0,0,0,0,0,0,0,0,75,117,77,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Anthony Wright",32,19,332,605,3590,20,25,0.59375,0.548760330578512,5.93388429752066,0.0330578512396694,0.0413223140495868,73,110,76,16,4.67,31,31,116,4.35,7.45,1,1,1,1,1,1,1,1
"Ben Roethlisberger",143,142,2749,4346,34105,219,122,0.993006993006993,0.632535664979291,7.84744592728946,0.0503911642890014,0.0280717901518638,77,84,99,25,4.75,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"Billy Volek",39,10,337,561,3754,27,15,0.256410256410256,0.600713012477718,6.69162210338681,0.0481283422459893,0.0267379679144385,74,121,74,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Brad Smith",75,13,4,7,51,1,1,0.173333333333333,0.571428571428571,7.28571428571429,0.142857142857143,0.142857142857143,74,109,78,24,4.46,NA,39.5,128,4.33,7.01,1,1,1,0,1,1,1,1
"Bradlee Van Pelt",3,0,2,8,7,0,0,0,0.25,0.875,0,0,74,87,98,25,4.98,NA,33.5,115,4.15,6.91,1,1,1,0,1,1,1,1
"Brady Quinn",24,20,296,550,3043,12,17,0.833333333333333,0.538181818181818,5.53272727272727,0.0218181818181818,0.0309090909090909,76,112,74,29,4.73,24,NA,NA,NA,NA,1,1,1,1,0,0,0,0
"Brett Basanez",1,0,6,11,56,0,1,0,0.545454545454545,5.09090909090909,0,0.0909090909090909,74,92,92,NA,4.76,NA,34,114,4.23,6.76,1,0,1,0,1,1,1,1
"Brian Brohm",3,2,27,52,252,0,5,0.666666666666667,0.519230769230769,4.84615384615385,0,0.0961538461538462,75,127,61,32,4.81,NA,30,115,4.55,7.13,1,1,1,0,1,1,1,1
"Brian Hoyer",18,4,114,192,1231,7,6,0.222222222222222,0.59375,6.41145833333333,0.0364583333333333,0.03125,75,112,76,NA,5.02,NA,32,109,4.42,7.1,1,0,1,0,1,1,1,1
"Brian St. Pierre",3,1,15,33,185,2,3,0.333333333333333,0.454545454545455,5.60606060606061,0.0606060606060606,0.0909090909090909,75,116,74,27,4.82,NA,30,106,NA,NA,1,1,1,0,1,1,0,0
"Brock Berlin",2,1,18,31,159,0,1,0.5,0.580645161290323,5.12903225806452,0,0.032258064516129,73,130,58,13,4.83,NA,29,109,4.54,7.51,1,1,1,0,1,1,1,1
"Brock Huard",8,4,60,107,689,4,2,0.5,0.560747663551402,6.4392523364486,0.0373831775700935,0.0186915887850467,76,86,98,25,5.12,30.5,30.5,107,4.44,7.44,1,1,1,1,1,1,1,1
"Brodie Croyle",18,10,181,319,1669,8,9,0.555555555555556,0.567398119122257,5.23197492163009,0.0250783699059561,0.0282131661442006,74,114,58,24,4.88,NA,30.5,104,4.26,7.36,1,1,1,0,1,1,1,1
"Brooks Bollinger",21,10,211,360,2226,9,9,0.476190476190476,0.586111111111111,6.18333333333333,0.025,0.025,73,135,60,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Bruce Gradkowski",37,20,375,709,4057,21,24,0.540540540540541,0.528913963328632,5.72214386459803,0.0296191819464034,0.0338504936530324,73,112,72,NA,4.59,NA,34,107,4.16,7.13,1,0,1,0,1,1,1,1
"Byron Leftwich",60,50,930,1605,10532,58,42,0.833333333333333,0.579439252336449,6.5619937694704,0.0361370716510903,0.0261682242990654,77,107,80,25,5.1,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"Cade McNown",25,15,281,515,3111,16,19,0.6,0.545631067961165,6.04077669902913,0.0310679611650485,0.0368932038834951,73,NA,NA,28,4.73,33.5,33.5,113,4.28,7.27,1,1,1,1,1,1,1,1
"Caleb Hanie",10,4,59,116,679,3,10,0.4,0.508620689655172,5.85344827586207,0.0258620689655172,0.0862068965517241,74,87,98,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Carson Palmer",138,137,2930,4682,33739,213,152,0.992753623188406,0.625800939769329,7.20610850064075,0.0454933788979069,0.0324647586501495,77,129,49,26,4.65,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"Chad Henne",61,50,1117,1876,12439,55,62,0.819672131147541,0.595415778251599,6.63059701492537,0.029317697228145,0.0330490405117271,75,124,64,22,4.92,NA,25.5,106,4.4,7.17,1,1,1,0,1,1,1,1
"Chad Hutchinson",15,14,220,413,2466,11,11,0.933333333333333,0.532687651331719,5.97094430992736,0.026634382566586,0.026634382566586,77,101,81,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Chad Pennington",89,81,1632,2471,17823,102,64,0.910112359550562,0.660461351679482,7.21286928369081,0.0412788344799676,0.0259004451639013,75,107,80,25,4.81,33.5,33.5,111,4.16,7.12,1,1,1,1,1,1,1,1
"Charlie Frye",25,22,415,666,4120,17,28,0.88,0.623123123123123,6.18618618618619,0.0255255255255255,0.042042042042042,76,66,111,38,4.79,NA,33,113,4.09,6.95,1,1,1,0,1,1,1,1
"Charlie Whitehurst",13,4,84,155,805,3,4,0.307692307692308,0.541935483870968,5.19354838709677,0.0193548387096774,0.0258064516129032,76,123,68,33,4.75,NA,33,112,4.12,7,1,1,1,0,1,1,1,1
"Chase Daniel",50,1,32,47,303,1,1,0.02,0.680851063829787,6.4468085106383,0.0212765957446809,0.0212765957446809,73,109,78,NA,4.79,NA,33,NA,4.31,7.28,1,0,1,0,1,0,1,1
"Chris Greisen",5,0,7,16,69,1,0,0,0.4375,4.3125,0.0625,0,75,NA,NA,27,5.09,30.5,30.5,108,4.33,7.29,1,1,1,1,1,1,1,1
"Chris Redman",30,12,286,500,3179,21,14,0.4,0.572,6.358,0.042,0.028,75,127,61,16,5.37,26.5,26.5,98,4.78,7.8,1,1,1,1,1,1,1,1
"Chris Simms",23,16,297,511,3117,12,18,0.695652173913043,0.581213307240705,6.09980430528376,0.0234833659491194,0.0352250489236791,76,149,45,22,4.84,NA,31,103,4.21,7.38,1,1,1,0,1,1,1,1
"Chris Weinke",29,20,386,709,3904,15,26,0.689655172413793,0.544428772919605,5.50634696755994,0.0211565585331453,0.0366713681241185,76,130,54,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Cleo Lemon",16,8,211,379,2185,8,7,0.5,0.556728232189974,5.76517150395778,0.0211081794195251,0.0184696569920844,74,80,100,18,4.87,NA,35.5,106,4.27,7.33,1,1,1,0,1,1,1,1
"Cody Pickett",6,2,18,45,195,0,4,0.333333333333333,0.4,4.33333333333333,0,0.0888888888888889,75,86,98,19,4.79,NA,30.5,109,4.32,7.19,1,1,1,0,1,1,1,1
"Craig Krenzel",6,5,59,127,718,3,6,0.833333333333333,0.464566929133858,5.65354330708661,0.0236220472440945,0.047244094488189,76,138,41,38,4.84,NA,28,112,4.15,7.23,1,1,1,0,1,1,1,1
"Craig Nall",7,0,30,48,402,5,0,0,0.625,8.375,0.104166666666667,0,75,146,48,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Curtis Painter",14,8,148,287,1681,6,13,0.571428571428571,0.515679442508711,5.85714285714286,0.0209059233449477,0.0452961672473868,76,92,94,NA,4.87,NA,29,102,4.48,7,1,0,1,0,1,1,1,1
"Dan Orlovsky",24,12,276,472,2931,14,12,0.5,0.584745762711864,6.20974576271186,0.0296610169491525,0.0254237288135593,77,83,86,30,4.93,NA,29.5,107,4.43,7.33,1,1,1,0,1,1,1,1
"Daunte Culpepper",105,100,2016,3199,24153,149,106,0.952380952380952,0.63019693654267,7.55017192872773,0.0465770553297906,0.0331353547983745,76,99,86,18,4.52,39,39,122,4.13,7.21,1,1,1,1,1,1,1,1
"Dave Ragone",2,2,20,40,135,0,1,1,0.5,3.375,0,0.025,75,127,61,31,4.99,30.5,30.5,101,4.36,7.42,1,1,1,1,1,1,1,1
"David Carr",94,79,1353,2267,14452,65,71,0.840425531914894,0.596823996471107,6.37494486104985,0.0286722540802823,0.031318923687693,75,121,74,24,4.67,35,35,108,4.28,7.05,1,1,1,1,1,1,1,1
"David Garrard",86,76,1406,2281,16003,89,54,0.883720930232558,0.616396317404647,7.01578255151249,0.0390179745725559,0.0236738272687418,73,97,90,14,4.82,33.5,33.5,111,4.26,7.35,1,1,1,1,1,1,1,1
"Dennis Dixon",4,3,35,59,402,1,2,0.75,0.593220338983051,6.8135593220339,0.0169491525423729,0.0338983050847458,75,143,47,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Derek Anderson",59,43,760,1440,9206,53,55,0.728813559322034,0.527777777777778,6.39305555555556,0.0368055555555556,0.0381944444444444,78,111,76,23,5.03,NA,29,103,4.67,7.67,1,1,1,0,1,1,1,1
"Donovan McNabb",167,161,3170,5374,37276,234,117,0.964071856287425,0.589877186453294,6.93636025307034,0.0435429847413472,0.0217714923706736,74,81,101,14,4.64,33,33,117,4.38,7.3,1,1,1,1,1,1,1,1
"Doug Johnson",25,11,218,384,2600,13,18,0.44,0.567708333333333,6.77083333333333,0.0338541666666667,0.046875,74,139,55,28,4.95,29.5,29.5,96,NA,NA,1,1,1,1,1,1,0,0
"Drew Brees",186,185,4481,6799,51081,363,177,0.994623655913978,0.659067509927931,7.51301662009119,0.0533902044418297,0.0260332401823798,73,92,94,28,4.83,32,32,105,4.21,7.09,1,1,1,1,1,1,1,1
"Drew Henson",9,1,11,20,98,1,1,0.111111111111111,0.55,4.9,0.05,0.05,76,124,64,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Drew Stanton",12,4,104,187,1158,5,9,0.333333333333333,0.556149732620321,6.19251336898396,0.0267379679144385,0.0481283422459893,75,112,76,35,4.75,NA,30.5,108,4.41,6.77,1,1,1,0,1,1,1,1
"Eli Manning",153,151,2929,5008,35345,229,171,0.986928104575163,0.584864217252396,7.05770766773163,0.0457268370607029,0.0341453674121406,76,92,91,39,4.9,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"Gibran Hamdan",1,0,1,2,7,0,0,0,0.5,3.5,0,0,78,58,118,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Henry Burris",6,1,18,51,207,3,5,0.166666666666667,0.352941176470588,4.05882352941176,0.0588235294117647,0.0980392156862745,73,59,117,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Ingle Martin",1,0,0,0,0,0,0,0,0,0,0,0,74,NA,NA,30,4.71,NA,36,111,4.22,7.15,1,1,1,0,1,1,1,1
"J.P. Losman",45,33,564,952,6271,33,34,0.733333333333333,0.592436974789916,6.58718487394958,0.0346638655462185,0.0357142857142857,75,100,88,31,4.73,NA,33,116,NA,NA,1,1,1,0,1,1,0,0
"J.T. O'Sullivan",17,8,145,257,1866,9,13,0.470588235294118,0.56420233463035,7.26070038910506,0.0350194552529183,0.0505836575875486,74,NA,NA,35,4.88,NA,29,107,4.28,7.46,1,1,1,0,1,1,1,1
"JaMarcus Russell",31,25,354,680,4083,18,23,0.806451612903226,0.520588235294118,6.00441176470588,0.0264705882352941,0.0338235294117647,78,146,48,24,4.83,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0
"Jared Lorenzen",4,0,4,8,28,0,0,0,0.5,3.5,0,0,76,71,110,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Jarious Jackson",5,1,11,22,114,0,1,0.2,0.5,5.18181818181818,0,0.0454545454545455,73,112,74,18,4.68,NA,NA,109,NA,NA,1,1,1,0,0,1,0,0
"Jason Campbell",86,79,1508,2499,16697,87,60,0.918604651162791,0.60344137655062,6.68147258903561,0.0348139255702281,0.0240096038415366,77,130,61,28,4.72,NA,NA,NA,NA,7.42,1,1,1,0,0,0,0,1
"Jay Cutler",104,104,2020,3310,23937,155,112,1,0.610271903323263,7.23172205438066,0.0468277945619335,0.0338368580060423,75,65,114,26,4.77,NA,NA,NA,4.31,7.12,1,1,1,0,0,0,1,1
"Jeff Garcia",125,116,2264,3676,25537,161,83,0.928,0.61588683351469,6.94695321001088,0.04379760609358,0.0225788900979325,73,72,107,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Jeff Kelly",1,0,0,0,0,0,0,0,0,0,0,0,73,NA,NA,NA,4.95,32,32,112,4.37,7.65,1,0,1,1,1,1,1,1
"Jeff Rowe",1,0,0,0,0,0,0,0,0,0,0,0,12,NA,NA,21,4.91,NA,29.5,114,4.15,6.72,1,1,1,0,1,1,1,1
"Jesse Palmer",8,3,63,120,562,3,4,0.375,0.525,4.68333333333333,0.025,0.0333333333333333,74,139,55,32,4.78,35.5,35.5,112,4.29,7.13,1,1,1,1,1,1,1,1
